"IES_PADRE","CODIGO_INSTITUCION","NOMBRE_INSTITUCION","ESTADO_INSTITUCION","CARACTER_ACADEMICO","SECTOR","CODIGO_SNIES_DEL_PROGRAMA","CODIGO_ANTERIOR_ICFES","NOMBRE_DEL_PROGRAMA","TITULO_OTORGADO","ESTADO_PROGRAMA","RECONOCIMIENTO_DEL_MINISTERIO","RESOLUCION_DE_APROBACION","FECHA_DE_RESOLUCION","FECHA_EJECUTORIA","VIGENCIA_AÑOS","FECHA_DE_REGISTRO_EN_SNIES","YEAR","CINE_F_2013_AC_CAMPO_AMPLIO","CINE_F_2013_AC_CAMPO_ESPECIFIC","CINE_F_2013_AC_CAMPO_DETALLADO","AREA_DE_CONOCIMIENTO","NUCLEO_BASICO_DEL_CONOCIMIENTO","NIVEL_ACADEMICO","NIVEL_DE_FORMACION","MODALIDAD","NUMERO_CREDITOS","NUMERO_PERIODOS_DE_DURACION","PERIODICIDAD","SE_OFRECE_POR_CICLOS_PROPEDEUT","PERIODICIDAD_ADMISIONES","PROGRAMA_EN_CONVENIO","DEPARTAMENTO_OFERTA_PROGRAMA","MUNICIPIO_OFERTA_PROGRAMA","COSTO_MATRICULA_ESTUD_NUEVOS"
"1101","1101","UNIVERSIDAD NACIONAL DE COLOMBIA","Activa","Universidad","Oficial","19893","1.101757400011E+20","DOCTORADO EN CIENCIAS - ESTADISTICA","DOCTOR EN CIENCIAS - ESTADISTICA","Activo","Acreditación de alta calidad","5072","30/03/2023","21/04/2023","4","25/08/2003","2003","Ciencias Naturales, Matemáticas y Estadística","Matemáticas y estadística","Estadística","Matemáticas y ciencias naturales","Matemáticas, estadística y afines","Posgrado","Doctorado","Presencial","147","8","Semestral","No","Semestral","N","Bogotá, D.C.","Bogotá, D.C.","10424920"
"1101","1101","UNIVERSIDAD NACIONAL DE COLOMBIA","Activa","Universidad","Oficial","112","1.101753000011E+20","DOCTORADO EN CIENCIAS - FISICA","DOCTOR EN CIENCIAS FISICA","Activo","Acreditación de alta calidad","4612","21/03/2018","21/03/2018","8","21/03/1998","1998","Ciencias Naturales, Matemáticas y Estadística","Ciencias físicas","Física","Matemáticas y ciencias naturales","Física","Posgrado","Doctorado","Presencial","150","8","Semestral","No","Semestral","N","Bogotá, D.C.","Bogotá, D.C.","10424920"
"1101","1101","UNIVERSIDAD NACIONAL DE COLOMBIA","Activa","Universidad","Oficial","111","1.101754000011E+20","DOCTORADO EN CIENCIAS - QUIMICA","DOCTOR EN CIENCIAS - QUÍMICA","Activo","n/a","","","","","21/03/1998","1998","Ciencias Naturales, Matemáticas y Estadística","Ciencias físicas","Química","Matemáticas y ciencias naturales","Química y afines","Posgrado","Doctorado","Presencial","150","8","Semestral","No","Semestral","N","Bogotá, D.C.","Bogotá, D.C.","10424920"
"1101","1101","UNIVERSIDAD NACIONAL DE COLOMBIA","Activa","Universidad","Oficial","106670","1.101763608011E+20","DOCTORADO EN CIENCIAS - SALUD ANIMAL O PRODUCCIÓN ANIMAL","DOCTOR EN CIENCIAS - SALUD ANIMAL O DOCTOR EN CIENCIAS - PRODUCCIÓN ANIMAL","Activo","n/a","","","","","25/08/2003","2003","Agropecuario, Silvicultura, Pesca y Veterinaria","Veterinaria","Veterinaria","Agronomía, veterinaria y afines","Medicina veterinaria","Posgrado","Doctorado","Presencial","150","8","Semestral","No","Semestral","N","Bogotá, D.C.","Bogotá, D.C.","10424920"
"1101","1101","UNIVERSIDAD NACIONAL DE COLOMBIA","Activa","Universidad","Oficial","16887","1.101763037011E+20","DOCTORADO EN CIENCIAS AGRARIAS","DOCTOR EN CIENCIAS AGRARIAS","Activo","Acreditación de alta calidad","16224","30/09/2015","30/09/2015","8","07/11/2002","2002","Agropecuario, Silvicultura, Pesca y Veterinaria","Agropecuario","Producción agrícola y ganadera","Agronomía, veterinaria y afines","Agronomía","Posgrado","Doctorado","Presencial","150","8","Semestral","No","Semestral","N","Bogotá, D.C.","Bogotá, D.C.","9558260"
"1101","1101","UNIVERSIDAD NACIONAL DE COLOMBIA","Activa","Universidad","Oficial","52750","52750","DOCTORADO EN CIENCIAS BIOMEDICAS","DOCTOR EN CIENCIAS BIOMEDICAS","Activo","n/a","","","","","23/04/2007","2007","Salud y Bienestar","Salud","Medicina","Ciencias de la salud","Medicina","Posgrado","Doctorado","Presencial","150","8","Semestral","No","","N","Bogotá, D.C.","Bogotá, D.C.","10424920"
"1101","1101","UNIVERSIDAD NACIONAL DE COLOMBIA","Activa","Universidad","Oficial","19895","1.101733000011E+20","DOCTORADO EN CIENCIAS ECONOMICAS","DOCTOR EN CIENCIAS ECONOMICAS","Activo","Acreditación de alta calidad","6749","28/06/2019","28/06/2019","10","25/08/2003","2003","Ciencias Sociales, Periodismo e Información","Ciencias sociales y del comportamiento","Economía","Economía, administración, contaduría y afines","Economía","Posgrado","Doctorado","Presencial","135","8","Semestral","No","Semestral","N","Bogotá, D.C.","Bogotá, D.C.","10424920"
"1101","1101","UNIVERSIDAD NACIONAL DE COLOMBIA","Activa","Universidad","Oficial","19894","1.101754000011E+20","DOCTORADO EN CIENCIAS FARMACEUTICAS","DOCTOR EN CIENCIAS FARMACEUTICAS","Activo","n/a","","","","","25/08/2003","2003","Salud y Bienestar","Salud","Farmacia","Matemáticas y ciencias naturales","Química y afines","Posgrado","Doctorado","Presencial","150","6","Semestral","No","Semestral","N","Bogotá, D.C.","Bogotá, D.C.","10424920"
"1101","1101","UNIVERSIDAD NACIONAL DE COLOMBIA","Activa","Universidad","Oficial","55129","55129","DOCTORADO EN CIENCIAS HUMANAS Y SOCIALES","DOCTOR EN CIENCIAS HUMANAS Y SOCIALES","Activo","Registro calificado","1","24/07/2014","24/07/2014","7","22/01/2010","2010","Ciencias Sociales, Periodismo e Información","Ciencias sociales y del comportamiento","Sociología, Antropología y estudios culturales","Ciencias sociales y humanas","Sociología, trabajo social y afines","Posgrado","Doctorado","Presencial","144","8","Semestral","No","Anual","N","Bogotá, D.C.","Bogotá, D.C.","10424920"
"1101","1101","UNIVERSIDAD NACIONAL DE COLOMBIA","Activa","Universidad","Oficial","2604","1.101751000011E+20","DOCTORADO EN CIENCIAS-MATEMATICAS","DOCTOR EN CIENCIAS-MATEMATICAS","Activo","Acreditación de alta calidad","3168","01/03/2021","16/03/2021","6","21/03/1998","1998","Ciencias Naturales, Matemáticas y Estadística","Matemáticas y estadística","Matemáticas","Matemáticas y ciencias naturales","Matemáticas, estadística y afines","Posgrado","Doctorado","Presencial","150","8","Semestral","No","Semestral","N","Bogotá, D.C.","Bogotá, D.C.","10424920"
"1101","1101","UNIVERSIDAD NACIONAL DE COLOMBIA","Activa","Universidad","Oficial","55125","55125","DOCTORADO EN DERECHO","DOCTOR EN DERECHO","Activo","Registro calificado","1","24/07/2014","24/07/2014","7","22/01/2010","2010","Administración de Empresas y Derecho","Derecho","Derecho","Ciencias sociales y humanas","Derecho y afines","Posgrado","Doctorado","Presencial","125","8","Semestral","No","Semestral","N","Bogotá, D.C.","Bogotá, D.C.","10424920"
"1101","1101","UNIVERSIDAD NACIONAL DE COLOMBIA","Activa","Universidad","Oficial","19897","1.101761007311E+20","DOCTORADO EN ENFERMERIA","DOCTOR EN ENFERMERIA","Activo","Acreditación de alta calidad","18127","27/09/2021","12/10/2021","8","25/08/2003","2003","Salud y Bienestar","Salud","Enfermería y partería","Ciencias de la salud","Enfermería","Posgrado","Doctorado","Presencial","150","8","Semestral","No","Semestral","N","Bogotá, D.C.","Bogotá, D.C.","10424920"
"1101","1101","UNIVERSIDAD NACIONAL DE COLOMBIA","Activa","Universidad","Oficial","108145","108145","DOCTORADO EN ESTUDIOS AMBIENTALES","DOCTOR EN ESTUDIOS AMBIENTALES","Activo","Registro calificado","","15/07/2019","","7","15/07/2019","2019","Ciencias Naturales, Matemáticas y Estadística","Medio ambiente","Ciencias del medio ambiente","Ingeniería, arquitectura, urbanismo y afines","Ingeniería de sistemas, telemática y afines","Posgrado","Doctorado","Presencial","135","8","Periodos","No","Semestral","N","Bogotá, D.C.","Bogotá, D.C.","10424920"
"1101","1101","UNIVERSIDAD NACIONAL DE COLOMBIA","Activa","Universidad","Oficial","53274","53274","DOCTORADO EN ESTUDIOS POLITICOS Y RELACIONES INTERNACIONALES","DOCTOR EN ESTUDIOS POLITICOS Y RELACIONES INTERNACIONALES","Activo","n/a","","","","","05/12/2007","2007","Ciencias Sociales, Periodismo e Información","Ciencias sociales y del comportamiento","Ciencias políticas y educación cívica","Ciencias sociales y humanas","Ciencia política, relaciones internacionales","Posgrado","Doctorado","Presencial","125","8","Semestral","No","","N","Bogotá, D.C.","Bogotá, D.C.","10424920"
"1101","1101","UNIVERSIDAD NACIONAL DE COLOMBIA","Activa","Universidad","Oficial","110","1.101710000111E+20","DOCTORADO EN FILOSOFIA","DOCTOR EN FILOSOFIA","Activo","Acreditación de alta calidad","3107","18/03/2024","09/04/2024","10","21/03/1998","1998","Arte y Humanidades","Humanidades (Excepto idiomas)","Filosofía y ética","Ciencias sociales y humanas","Filosofía, teología y afines","Posgrado","Doctorado","Presencial","146","8","Semestral","No","Semestral","N","Bogotá, D.C.","Bogotá, D.C.","10424920"
"1101","1101","UNIVERSIDAD NACIONAL DE COLOMBIA","Activa","Universidad","Oficial","55124","55124","DOCTORADO EN GEOCIENCIAS","DOCTOR EN GEOCIENCIAS","Activo","Registro calificado","1","24/07/2014","24/07/2014","7","22/01/2010","2010","Ciencias Naturales, Matemáticas y Estadística","Ciencias físicas","Ciencias de la tierra","Matemáticas y ciencias naturales","Geología, otros programas de ciencias naturales","Posgrado","Doctorado","Presencial","150","8","Semestral","No","Semestral","N","Bogotá, D.C.","Bogotá, D.C.","10424920"
"1101","1101","UNIVERSIDAD NACIONAL DE COLOMBIA","Activa","Universidad","Oficial","53273","53273","DOCTORADO EN GEOGRAFIA","DOCTOR EN GEOGRAFIA","Activo","n/a","","","","","05/12/2007","2007","Ciencias Sociales, Periodismo e Información","Programas y certificaciones interdisciplinarios relativos a ciencias sociales, periodismo e información","Programas y certificaciones interdisciplinarios relativos a ciencias sociales, periodismo e información","Ciencias sociales y humanas","Geografía, historia","Posgrado","Doctorado","Presencial","120","8","Semestral","No","Anual","N","Bogotá, D.C.","Bogotá, D.C.","10424920"
"1101","1101","UNIVERSIDAD NACIONAL DE COLOMBIA","Activa","Universidad","Oficial","19896","1.101790000011E+20","DOCTORADO EN HISTORIA","DOCTOR EN HISTORIA","Activo","Acreditación de alta calidad","16208","30/09/2015","16/10/2015","8","25/08/2003","2003","Arte y Humanidades","Humanidades (Excepto idiomas)","Historia y arqueología","Ciencias sociales y humanas","Geografía, historia","Posgrado","Doctorado","Presencial","150","8","Semestral","No","Anual","N","Bogotá, D.C.","Bogotá, D.C.","10424920"
"1101","1101","UNIVERSIDAD NACIONAL DE COLOMBIA","Activa","Universidad","Oficial","55182","55182","DOCTORADO EN INGENIERÍA  INDUSTRIA Y ORGANIZACIONES","DOCTOR EN INGENIERIA","Activo","n/a","","","","","26/03/2010","2010","Ingeniería, Industria y Construcción","Ingeniería y profesiones afines","Ingeniería y profesiones afines no clasificadas en otra parte","Ingeniería, arquitectura, urbanismo y afines","Ingeniería industrial y afines","Posgrado","Doctorado","Presencial","135","6","Anual","No","","N","Bogotá, D.C.","Bogotá, D.C.","10424920"
"1101","1101","UNIVERSIDAD NACIONAL DE COLOMBIA","Activa","Universidad","Oficial","102832","102832","DOCTORADO EN INGENIERÍA - INGENIERÍA CIVIL","DOCTOR EN INGENIERIA","Activo","Registro calificado","13899","08/10/2013","22/10/2013","8,5","23/10/2013","2013","Ingeniería, Industria y Construcción","Arquitectura y construcción","Construcción e ingeniería civil","Ingeniería, arquitectura, urbanismo y afines","Ingeniería civil y afines","Posgrado","Doctorado","Presencial","135","4","Anual","No","Anual","N","Bogotá, D.C.","Bogotá, D.C.","10424920"
"1101","1101","UNIVERSIDAD NACIONAL DE COLOMBIA","Activa","Universidad","Oficial","51674","1.101762103011E+20","DOCTORADO EN INGENIERIA - INGENIERIA ELECTRICA","DOCTOR EN INGENIERIA","Activo","Acreditación de alta calidad","173","16/01/2017","16/01/2017","6","10/10/2005","2005","Ingeniería, Industria y Construcción","Ingeniería y profesiones afines","Electricidad y energía","Ingeniería, arquitectura, urbanismo y afines","Ingeniería electrónica, telecomunicaciones y afines","Posgrado","Doctorado","Presencial","135","8","Semestral","No","Semestral","N","Bogotá, D.C.","Bogotá, D.C.","10424920"
"1101","1101","UNIVERSIDAD NACIONAL DE COLOMBIA","Activa","Universidad","Oficial","55187","55187","DOCTORADO EN INGENIERIA - INGENIERIA MECANICA Y MECATRONICA","DOCTOR EN INGENIERIA","Activo","Acreditación de alta calidad","2322","01/03/2022","16/03/2022","8","14/05/2010","2010","Ingeniería, Industria y Construcción","Ingeniería y profesiones afines","Mecánica y profesiones afines a la metalistería","Ingeniería, arquitectura, urbanismo y afines","Ingeniería mecánica y afines","Posgrado","Doctorado","Presencial","135","8","Semestral","No","Semestral","N","Bogotá, D.C.","Bogotá, D.C.","10424920"
"1101","1101","UNIVERSIDAD NACIONAL DE COLOMBIA","Activa","Universidad","Oficial","51676","1.101766000011E+20","DOCTORADO EN INGENIERIA - INGENIERIA QUIMICA","DOCTOR EN INGENIERIA","Activo","Acreditación de alta calidad","6874","27/04/2023","16/05/2023","8","10/10/2005","2005","Ingeniería, Industria y Construcción","Ingeniería y profesiones afines","Ingeniería y procesos químicos","Ingeniería, arquitectura, urbanismo y afines","Ingeniería química y afines","Posgrado","Doctorado","Presencial","135","8","Semestral","No","Semestral","N","Bogotá, D.C.","Bogotá, D.C.","10424920"
"1101","1101","UNIVERSIDAD NACIONAL DE COLOMBIA","Activa","Universidad","Oficial","53272","53272","DOCTORADO EN INGENIERIA-CIENCIA Y TECNOLOGIA DE MATERIALES","DOCTOR EN INGENIERIA","Activo","Acreditación de alta calidad","2332","01/03/2022","16/03/2022","6","05/12/2007","2007","Ingeniería, Industria y Construcción","Industria y procesamiento","Materiales (vidrio, papel, plástico y madera)","Ingeniería, arquitectura, urbanismo y afines","Ingeniería civil y afines","Posgrado","Doctorado","Presencial","135","8","Semestral","No","Semestral","N","Bogotá, D.C.","Bogotá, D.C.","10424920"
"1101","1101","UNIVERSIDAD NACIONAL DE COLOMBIA","Activa","Universidad","Oficial","106335","106335","DOCTORADO EN ONCOLOGIA","DOCTOR EN ONCOLOGÍA","Activo","n/a","12257","22/06/2017","22/06/2017","","27/06/2017","2017","Salud y Bienestar","Salud","Medicina","Ciencias de la salud","Medicina","Posgrado","Doctorado","Presencial","150","4","Anual","No","Anual","N","Bogotá, D.C.","Bogotá, D.C.","10424920"
"1101","1101","UNIVERSIDAD NACIONAL DE COLOMBIA","Activa","Universidad","Oficial","103196","103196","DOCTORADO EN PSICOLOGÍA","DOCTOR EN PSICOLOGÍA","Activo","Registro calificado","4885","07/04/2014","11/04/2014","8","15/04/2014","2014","Ciencias Sociales, Periodismo e Información","Ciencias sociales y del comportamiento","Psicología","Ciencias sociales y humanas","Psicología","Posgrado","Doctorado","Presencial","120","8","Semestral","No","Anual","N","Bogotá, D.C.","Bogotá, D.C.","10424920"
"1101","1101","UNIVERSIDAD NACIONAL DE COLOMBIA","Activa","Universidad","Oficial","19899","1.101736201011E+20","DOCTORADO EN SALUD PUBLICA","DOCTOR EN SALUD PUBLICA","Activo","Acreditación de alta calidad","1659","26/02/2024","13/03/2024","8","25/08/2003","2003","Salud y Bienestar","Salud","Medicina","Ciencias de la salud","Salud pública","Posgrado","Doctorado","Presencial","150","8","Periodos","No","Anual","N","Bogotá, D.C.","Bogotá, D.C.","10424920"
"1101","1101","UNIVERSIDAD NACIONAL DE COLOMBIA","Activa","Universidad","Oficial","16943","1.101563608911E+20","ESPECIALIDAD EN ANATOMOPATOLOGIA VETERINARIA","ESPECIALISTA EN ANATOMOPATOLOGIA VETERINARIA","Activo","n/a","","","","","12/11/2002","2002","Agropecuario, Silvicultura, Pesca y Veterinaria","Veterinaria","Veterinaria","Agronomía, veterinaria y afines","Medicina veterinaria","Posgrado","Especializacion universitaria","Presencial","130","3","Semestral","No","Semestral","N","Bogotá, D.C.","Bogotá, D.C.","8258270"
"1101","1101","UNIVERSIDAD NACIONAL DE COLOMBIA","Activa","Universidad","Oficial","64","1.101561709611E+20","ESPECIALIDAD EN ANESTESIOLOGIA Y REANIMACION","ESPECIALISTA EN ANESTESIOLOGIA Y REANIMACION","Activo","n/a","","","","","21/03/1998","1998","Salud y Bienestar","Salud","Medicina","Ciencias de la salud","Medicina","Posgrado","Especializacion universitaria","Presencial","225","3","Anual","No","Anual","N","Bogotá, D.C.","Bogotá, D.C.","8691600"
"1101","1101","UNIVERSIDAD NACIONAL DE COLOMBIA","Activa","Universidad","Oficial","38","1.101561700011E+20","ESPECIALIDAD EN CIRUGIA GENERAL","ESPECIALISTA EN CIRUGIA GENERAL","Activo","n/a","","","","","21/03/1998","1998","Salud y Bienestar","Salud","Medicina","Ciencias de la salud","Medicina","Posgrado","Especializacion universitaria","Presencial","320","4","Anual","No","Anual","N","Bogotá, D.C.","Bogotá, D.C.","8691600"
"1101","1101","UNIVERSIDAD NACIONAL DE COLOMBIA","Activa","Universidad","Oficial","16946","1.101561705111E+20","ESPECIALIDAD EN CIRUGIA ORAL Y MAXILOFACIAL","ESPECIALISTA EN CIRUGIA ORAL Y MAXILOFACIAL","Activo","n/a","","","","","12/11/2002","2002","Salud y Bienestar","Salud","Odontología y estudios dentales","Ciencias de la salud","Odontología","Posgrado","Especializacion universitaria","Presencial","225","8","Semestral","No","Semestral","N","Bogotá, D.C.","Bogotá, D.C.","10424920"
"1101","1101","UNIVERSIDAD NACIONAL DE COLOMBIA","Activa","Universidad","Oficial","39","1.101561709811E+20","ESPECIALIDAD EN CIRUGIA PEDIATRICA","ESPECIALISTA EN CIRUGIA PEDIATRICA","Activo","n/a","","","","","21/03/1998","1998","Salud y Bienestar","Salud","Medicina","Ciencias de la salud","Medicina","Posgrado","Especializacion universitaria","Presencial","320","5","Anual","No","Anual","N","Bogotá, D.C.","Bogotá, D.C.","8691600"
"1101","1101","UNIVERSIDAD NACIONAL DE COLOMBIA","Activa","Universidad","Oficial","40","1.101561709511E+20","ESPECIALIDAD EN CIRUGIA PLASTICA","ESPECIALISTA EN CIRUGIA PLASTICA","Activo","n/a","","","","","21/03/1998","1998","Salud y Bienestar","Salud","Medicina","Ciencias de la salud","Medicina","Posgrado","Especializacion universitaria","Presencial","295","4","Anual","No","Anual","N","Bogotá, D.C.","Bogotá, D.C.","8691600"
"1101","1101","UNIVERSIDAD NACIONAL DE COLOMBIA","Activa","Universidad","Oficial","53269","53269","ESPECIALIDAD EN CUIDADO INTENSIVO PEDIATRICO","ESPECIALISTA EN CUIDADO INTENSIVO PEDIATRICO","Activo","n/a","","","","","05/12/2007","2007","Salud y Bienestar","Salud","Medicina","Ciencias de la salud","Medicina","Posgrado","Especializacion universitaria","Presencial","163","4","Semestral","No","","N","Bogotá, D.C.","Bogotá, D.C.","8691600"
"1101","1101","UNIVERSIDAD NACIONAL DE COLOMBIA","Activa","Universidad","Oficial","41","1.101561605011E+20","ESPECIALIDAD EN DERMATOLOGIA","ESPECIALISTA EN DERMATOLOGIA","Activo","n/a","","","","","21/03/1998","1998","Salud y Bienestar","Salud","Medicina","Ciencias de la salud","Medicina","Posgrado","Especializacion universitaria","Presencial","173","3","Anual","No","Anual","N","Bogotá, D.C.","Bogotá, D.C.","8691600"
"1101","1101","UNIVERSIDAD NACIONAL DE COLOMBIA","Activa","Universidad","Oficial","61","1.101561604011E+20","ESPECIALIDAD EN ENDOCRINOLOGIA","ESPECIALISTA EN ENDOCRINOLOGIA","Activo","n/a","","","","","21/03/1998","1998","Salud y Bienestar","Salud","Medicina","Ciencias de la salud","Medicina","Posgrado","Especializacion universitaria","Presencial","","4","Anual","No","Semestral","N","Bogotá, D.C.","Bogotá, D.C.","8691600"
"1101","1101","UNIVERSIDAD NACIONAL DE COLOMBIA","Activa","Universidad","Oficial","55147","55147","ESPECIALIDAD EN ENDODONCIA","ESPECIALISTA EN ENDODONCIA","Activo","n/a","","","","","03/02/2010","2010","Salud y Bienestar","Salud","Odontología y estudios dentales","Ciencias de la salud","Odontología","Posgrado","Especializacion universitaria","Presencial","90","2","Anual","No","","N","Bogotá, D.C.","Bogotá, D.C.","10424920"
